chr	start	end	txplus	txminus
1	7008376	7014279	0	1
1	7219360	7219524	1	0
1	7368942	7370270	1	0
1	7382487	7389754	0	1
1	7441096	7441554	0	1
1	7693124	7694844	0	1
1	7698303	7698872	0	1
1	7700704	7700970	0	1
1	7771296	7781432	1	0
1	7776383	7776775	1	0
1	7784320	7845177	1	0
1	7810242	7827342	0	1
1	7843083	7853512	0	1
1	7915871	7943165	0	1
1	7942372	7942726	1	0
1	7954291	7985505	1	0
1	7982881	7982983	0	1
1	7991134	8005312	1	0
1	7998187	7999934	0	1
1	8004404	8026309	0	1
1	8026738	8122702	1	0
1	8057245	8058463	0	1
1	8189824	8192770	1	0
1	8201518	8215210	1	0
1	8206434	8206597	0	1
1	8218190	8220529	0	1
1	8292157	8292263	0	1
1	8317826	8344167	1	0
1	8328067	8328179	1	0
1	8352397	8848921	0	1
1	8424645	8435013	1	0
1	8511795	8511919	0	1
1	8512653	8513021	1	0
1	8750430	8751087	1	0
1	8786211	8786913	0	1
1	8796571	8796673	0	1
1	8798475	8799506	1	0
1	8805860	8807051	0	1
1	8831007	8831375	1	0
1	8861000	8879190	0	1
1	8866502	8866590	0	1
1	8878835	8879894	1	0
1	8883427	8883533	0	1
1	8893409	8894151	1	0
1	8907393	8907744	0	1
1	8909742	8909904	1	0
1	8945867	8975092	1	0
1	8979576	8979874	0	1
1	9003300	9026345	0	1
1	9035106	9088478	0	1
1	9082696	9082879	1	0
1	9100305	9129102	0	1
1	9148011	9198906	0	1
1	9151668	9151777	0	1
1	9182004	9196284	1	0
1	9234774	9271337	1	0
1	9292894	9369532	1	0
1	9421098	9422862	0	1
1	9425094	9440564	0	1
1	9437669	9437778	0	1
1	9501092	9503471	0	1
1	9539465	9585173	1	0
1	9576427	9576985	1	0
1	9588911	9614877	1	0
1	9651731	9729114	1	0
1	9652610	9654586	0	1
1	9660828	9662626	0	1
1	9672426	9687555	0	1
1	9728926	9823984	0	1
1	9780822	9781240	1	0
1	9826289	9828271	0	1
1	9848276	9910336	0	1
1	9848318	9850154	1	0
1	9900614	9908034	1	0
1	9922113	9943407	0	1
1	9942923	9949974	1	0
1	9943428	9985501	1	0
1	9947318	9947636	1	0
1	9950572	9960787	0	1
1	9967381	9967458	1	0
1	9983141	9984568	1	0
1	9997206	10016021	1	0
1	10032832	10181239	1	0
1	10054445	10054781	0	1
1	10058671	10059648	1	0
1	10163268	10163374	1	0
1	10210805	10381603	1	0
1	10227718	10227803	1	0
1	10298966	10299072	1	0
1	10306465	10306757	1	0
1	10381906	10387150	0	1
1	10395416	10397432	1	0
1	10398592	10420511	1	0
1	10429881	10430677	0	1
1	10430433	10442808	1	0
1	10450031	10451998	1	0
1	10456522	10472529	0	1
1	10458555	10459338	1	0
1	10474950	10630758	1	0
1	10612222	10616452	0	1
1	10616836	10617115	1	0
1	10636604	10796650	0	1
1	10639241	10654333	1	0
1	10895761	10895998	1	0
1	10946473	10982037	0	1
1	10990978	10991797	0	1
1	11012344	11025739	1	0
1	11026523	11047239	0	1
1	11029659	11030528	1	0
1	11054589	11060020	0	1
1	11066618	11099869	0	1
1	11068471	11073097	1	0
1	11099675	11102100	1	0
1	11106535	11262551	0	1
1	11143898	11149537	1	0
1	11152350	11152452	1	0
1	11189355	11195981	1	0
1	11226254	11226360	1	0
1	11232963	11233112	1	0
1	11273206	11296049	1	0
1	11278616	11279351	0	1
1	11311734	11319093	0	1
1	11425257	11425821	0	1
1	11479155	11537551	1	0
1	11500803	11502016	0	1
1	11609468	11613358	1	0
1	11623558	11643416	1	0
1	11637018	11655785	0	1
1	11654375	11663327	1	0
1	11664200	11674354	1	0
1	11674480	11691650	0	1
1	11691710	11725857	1	0
1	11736084	11754802	1	0
1	11761787	11789585	1	0
1	11777077	11779619	0	1
1	11785723	11806455	0	1
1	11806096	11848079	1	0
1	11843812	11843984	1	0
1	11845549	11845697	1	0
1	11845709	11848345	0	1
1	11847442	11847549	1	0
1	11857464	11858945	0	1
1	11877770	11880406	1	0
1	11907940	11914298	1	0
1	11908152	11908271	1	0
1	11909808	11909927	0	1
1	11919591	11926428	0	1
1	11934205	11975538	1	0
1	11979533	11980127	0	1
1	11980181	12013514	1	0
1	12017216	12017308	0	1
1	12019466	12032045	1	0
1	12024012	12024124	0	1
1	12029158	12029222	1	0
1	12036740	12037014	0	1
1	12063303	12144207	1	0
1	12077881	12077984	0	1
1	12080293	12080547	0	1
1	12088441	12092264	0	1
1	12166943	12167038	1	0
1	12166991	12209228	1	0
1	12191713	12191773	1	0
1	12220794	12221109	0	1
1	12221148	12221271	0	1
1	12230030	12512047	1	0
1	12507246	12507397	1	0
1	12527724	12528420	1	0
1	12567910	12618210	0	1
1	12569972	12570072	0	1
1	12578957	12579023	0	1
1	12618900	12619244	0	1
1	12644547	12667086	1	0
1	12692909	12693020	1	0
1	12716110	12728760	1	0
1	12746200	12763699	1	0
1	12774841	12777906	1	0
1	12791397	12796628	1	0
1	12822686	12823159	0	1
1	12824605	12831410	0	1
1	12838125	12841357	0	1
1	12847377	12848720	0	1
1	12857086	12861909	1	0
1	12879212	12886201	0	1
1	12892896	12898270	0	1
1	12916610	12920482	1	0
1	12922554	12922660	1	0
1	12926162	12928253	1	0
1	12938472	12947580	0	1
1	13029339	13032130	1	0
1	13049476	13056491	0	1
1	13060869	13062229	1	0
1	13068677	13077884	1	0
1	13095179	13097971	0	1
1	13104403	13105689	0	1
1	13115488	13116854	0	1
1	13128818	13131615	1	0
1	13146981	13147460	0	1
1	13148905	13155961	0	1
1	13163914	13165631	0	1
1	13172455	13179464	1	0
1	13196188	13201409	0	1
1	13222705	13226106	0	1
1	13245863	13248652	1	0
1	13254212	13263314	1	0
1	13273539	13275627	0	1
1	13279125	13279231	0	1
1	13281035	13285174	0	1
1	13303539	13308907	1	0
1	13315581	13322598	1	0
1	13324039	13324518	1	0
1	13341892	13347134	0	1
1	13369067	13371900	0	1
1	13389632	13392629	1	0
1	13410450	13421328	1	0
1	13474973	13514003	0	1
1	13513220	13516270	1	0
1	13555001	13555694	1	0
1	13583465	13617957	1	0
1	13623184	13623284	0	1
1	13657311	13659910	0	1
1	13696070	13696199	0	1
1	13700198	13825079	1	0
1	13892792	15118043	1	0
1	14124233	14124335	0	1
1	14221887	14304445	0	1
1	14338825	14419973	0	1
1	14692129	14692613	0	1
1	14774469	14777727	0	1
1	15111815	15153618	0	1
1	15152532	15220478	1	0
1	15164344	15171317	0	1
1	15191828	15192845	0	1
1	15226373	15227549	1	0
1	15247272	15400283	1	0
1	15326680	15343876	0	1
1	15334166	15335464	0	1
1	15402979	15409433	0	1
1	15409888	15430339	1	0
1	15438442	15449242	1	0
1	15456728	15472091	1	0
1	15465909	15491395	1	0
1	15490832	15526534	0	1
1	15526813	15592379	1	0
1	15542165	15542304	1	0
1	15565611	15565956	0	1
1	15571699	15585051	0	1
1	15586136	15603626	0	1
1	15604597	15605043	1	0
1	15608078	15608145	0	1
1	15614643	15614867	0	1
1	15617458	15669044	1	0
1	15659869	15661722	1	0
1	15682873	15683128	0	1
1	15684320	15734769	1	0
1	15720312	15736896	0	1
1	15736258	15741392	1	0
1	15740051	15749896	0	1
1	15742499	15747982	1	0
1	15756607	15786594	1	0
1	15792796	15793285	1	0
1	15807169	15809348	0	1
1	15828232	15828669	1	0
1	15834474	15848147	0	1
1	15836095	15940456	1	0
1	15917698	15917908	0	1
1	15941869	15976132	0	1
1	15969632	15970194	1	0
1	15988182	15988441	1	0
1	15989140	15989375	0	1
1	15989871	15994751	1	0
1	16004236	16008807	1	0
1	16006160	16006671	0	1
1	16014028	16019594	0	1
1	16018875	16034050	1	0
1	16035178	16040029	0	1
1	16043736	16057308	1	0
1	16057769	16073651	0	1
1	16124337	16156069	0	1
1	16155211	16157329	1	0
1	16159266	16161883	1	0
1	16197854	16198357	1	0
1	16197854	16212652	0	1
1	16215909	16228027	0	1
1	16228674	16231335	0	1
1	16231692	16237183	0	1
1	16241213	16241398	0	1
1	16246840	16352480	0	1
1	16352575	16398145	1	0
1	16369150	16369530	0	1
1	16387117	16437424	0	1
1	16440721	16460078	1	0
1	16460948	16468481	1	0
1	16467436	16499257	0	1
1	16514122	16514285	0	1
1	16514645	16515754	1	0
1	16520694	16521796	1	0
1	16533886	16536172	0	1
1	16534081	16534224	0	1
1	16548651	16552531	0	1
1	16562319	16613562	0	1
1	16617391	16617729	1	0
1	16618253	16657232	0	1
1	16642767	16643109	0	1
1	16645622	16650289	1	0
1	16656879	16667524	1	0
1	16666785	16666948	0	1
1	16681097	16688749	0	1
1	16685621	16686055	0	1
1	16687339	16720157	0	1
1	16701546	16705594	1	0
1	16739938	16750589	0	1
1	16740273	16972964	1	0
1	16740280	16750968	1	0
1	16740516	16740679	1	0
1	16754910	16770237	0	1
1	16851257	16853129	0	1
1	16855407	16859284	1	0
1	16858949	16859021	0	1
1	16870945	16883659	1	0
1	16873708	16873851	1	0
1	16887577	16889706	0	1
1	16889095	16889602	1	0
1	16895980	16896143	1	0
1	16904339	16904776	0	1
1	16974502	16980632	0	1
1	16976302	16977792	1	0
1	16978926	17005091	1	0
1	16985958	17011928	0	1
1	17018722	17054032	0	1
1	17066761	17119451	0	1
1	17189783	17197617	1	0
1	17193232	17201733	0	1
1	17205128	17246007	1	0
1	17249098	17284233	1	0
1	17277889	17277975	1	0
1	17308195	17364004	1	0
1	17372196	17401699	1	0
1	17406760	17407382	1	0
1	17406760	17439677	0	1
1	17539698	17697869	1	0
1	17717625	17749978	1	0
1	17755333	17827063	1	0
1	18015712	18045612	1	0
1	18065657	18074412	1	0
1	18107798	18378483	1	0
1	18109389	18115861	1	0
1	18166929	18179346	0	1
1	18385829	18388514	1	0
1	18480982	18486126	1	0
1	18513118	18513383	1	0
1	18595414	18595636	1	0
1	18630846	18748866	1	0
1	18839599	18859682	0	1
1	18871430	18902724	0	1
1	18883202	18883275	0	1
1	18897071	18897148	0	1
1	18904280	18956676	0	1
1	19072110	19075511	0	1
1	19074510	19210266	0	1
1	19210501	19240704	1	0
1	19215660	19251525	0	1
1	19251805	19260128	1	0
1	19260521	19262307	0	1
1	19265982	19274194	0	1
1	19282573	19288770	0	1
1	19297080	19297903	1	0
1	19303965	19312146	0	1
1	19305076	19305182	0	1
1	19312326	19329300	1	0
1	19338775	19485539	0	1
1	19424384	19424671	1	0
1	19484403	19629821	1	0
1	19510593	19510733	1	0
1	19591802	19596832	0	1
1	19596979	19658456	1	0
1	19608114	19608568	1	0
1	19664875	19680966	1	0
1	19682213	19799945	0	1
1	19814029	19815283	0	1
1	19814367	19819502	1	0
1	19882395	19912945	1	0
1	19920009	19923617	0	1
1	19970969	19971269	1	0
1	19975431	19980416	0	1
1	20028179	20091911	1	0
1	20111939	20119566	0	1
1	20139323	20150381	1	0
1	20154171	20160568	1	0
1	20161253	20177424	0	1
1	20184242	20186486	0	1
1	20186096	20196050	1	0
1	20243095	20244664	1	0
1	20272018	20275005	1	0
1	20290919	20354894	1	0
1	20294211	20323187	0	1
1	20360579	20431234	0	1
1	20412304	20413253	0	1
1	20476222	20478937	1	0
1	20478779	20480397	0	1
1	20482391	20486210	0	1
1	20499448	20508151	0	1
1	20525989	20526751	1	0
1	20552573	20555020	1	0
1	20589086	20618903	1	0
1	20633458	20651511	1	0
1	20633679	20633788	1	0
1	20642657	20652193	0	1
1	20651767	20661544	0	1
1	20664014	20718017	0	1
1	20692734	20694013	0	1
1	20719731	20732837	0	1
1	20732880	20733952	1	0
1	20740266	20787323	0	1
1	20806292	21176888	0	1
1	20841241	20841302	1	0
1	20988314	20988432	0	1
1	21003550	21003934	0	1
1	21073639	21073753	0	1
1	21161475	21162081	1	0
1	21177054	21178164	1	0
1	21217247	21345572	0	1
1	21266082	21267251	1	0
1	21293290	21299874	1	0
1	21397987	21398362	1	0
1	21411460	21413293	0	1
1	21415898	21417492	1	0
1	21424625	21427967	0	1
1	21428303	21429536	1	0
1	21434318	21437558	1	0
1	21440128	21485005	1	0
1	21459756	21460082	0	1
1	21509397	21578410	1	0
1	21586472	21591187	1	0
1	21596215	21669363	0	1
1	21678298	21783606	0	1
1	21768269	21768575	1	0
1	21812265	21825225	1	0
1	21822244	21937310	0	1
1	21908098	21908580	1	0
1	21950679	21956871	0	1
1	21977022	21998642	1	0
1	21987481	21987777	1	0
1	21987816	21987919	1	0
1	22001657	22012542	1	0
1	22010650	22010946	1	0
1	22010985	22011088	1	0
1	22023990	22026048	0	1
1	22024558	22031223	1	0
1	22025511	22101360	1	0
1	22028317	22052927	0	1
1	22030527	22030748	1	0
1	22059197	22064199	1	0
1	22068340	22068827	0	1
1	22117313	22143969	0	1
1	22142850	22157401	1	0
1	22266239	22266300	1	0
1	22322840	22323331	0	1
1	22364630	22366482	0	1
1	22428838	22531157	1	0
1	22517474	22519708	1	0
1	22563489	22603595	1	0
1	22633258	22633366	0	1
1	22636628	22639678	1	0
1	22643633	22648110	1	0
1	22652762	22661637	1	0
1	22710839	22921500	1	0
1	22719517	22719598	1	0
1	22835713	22836849	0	1
1	22863159	22863226	0	1
1	22953043	22965338	0	1
1	23010834	23015852	0	1
1	23019443	23083689	1	0
1	23020147	23088058	0	1
1	23044305	23044372	1	0
1	23057858	23057934	0	1
1	23084023	23177808	0	1
1	23140325	23141142	1	0
1	23162704	23162810	1	0
1	23163953	23164053	1	0
1	23191895	23194729	0	1
1	23244765	23245224	1	0
1	23281307	23287488	0	1
1	23297797	23302866	1	0
1	23303771	23344336	0	1
1	23359448	23369836	0	1
1	23368997	23371839	1	0
1	23370254	23370346	1	0
1	23378380	23379029	0	1
1	23380909	23424748	0	1
1	23410832	23412146	1	0
1	23428563	23484568	0	1
1	23506438	23531233	0	1
1	23549139	23550915	0	1
1	23557926	23559501	0	1
1	23576436	23593621	0	1
1	23581495	23640568	1	0
1	23670294	23680259	1	0
1	23691742	23696835	1	0
1	23706901	23778296	0	1
1	23743155	23762059	1	0
1	23778418	23788232	1	0
1	23791145	23795539	1	0
1	23795599	23800781	0	1
1	23801885	23838620	0	1
1	23845077	23868294	0	1
1	23870515	23913362	0	1
1	23901471	23902737	0	1
1	23907111	23907885	1	0
1	23929070	23929147	1	0
1	23949016	23949383	0	1
1	23956839	23963462	1	0
1	23964347	23980927	0	1
1	24007881	24008519	0	1
1	24040835	24086799	1	0
1	24056035	24112135	0	1
1	24066774	24083565	1	0
1	24119771	24143140	0	1
1	24154168	24187959	0	1
1	24200240	24211693	1	0
1	24307556	24321901	0	1
1	24319357	24364482	1	0
1	24356999	24416934	0	1
1	24415802	24472976	1	0
1	24496254	24535400	0	1
1	24502351	24541040	1	0
1	24538802	24556024	0	1
1	24556087	24609328	1	0
1	24563627	24563974	1	0
1	24625411	24625513	0	1
1	24631716	24673281	1	0
1	24704894	24717596	1	0
1	24745382	24844321	1	0
1	24777873	24777979	0	1
1	24899511	24965121	0	1
1	24919345	24919416	0	1
1	24961345	24963097	1	0
1	24968423	24970865	0	1
1	25023503	25023586	1	0
1	25041136	25047404	1	0
1	25043707	25113120	0	1
1	25125053	25125454	0	1
1	25208139	25209437	1	0
1	25222276	25232502	0	1
1	25232586	25234775	1	0
1	25239494	25240253	1	0
1	25242249	25338213	0	1
1	25247837	25248321	1	0
1	25266102	25267136	0	1
1	25272439	25330445	1	0
1	25294164	25294643	0	1
1	25336429	25337465	0	1
1	25338317	25362361	1	0
1	25362249	25430192	0	1
1	25398721	25399198	1	0
1	25430858	25500209	1	0
1	25543606	25568886	1	0
1	25581478	25590356	1	0
1	25617468	25786207	1	0
1	25644544	25659111	0	1
1	25800176	25818221	1	0
1	25816749	25820797	0	1
1	25818640	25832942	1	0
1	25831913	25832134	0	1
1	25831913	25859458	0	1
1	25859613	25863420	1	0
1	25861210	25871253	0	1
1	25877496	25877605	1	0
1	25884181	25906991	0	1
1	25887360	25887610	1	0
1	25888970	25889109	1	0
1	25906362	25906454	0	1
1	25959767	25998117	0	1
1	25964197	25964300	1	0
1	26006006	26006130	1	0
1	26006216	26006299	1	0
1	26019884	26036464	1	0
1	26037252	26046118	0	1
1	26046665	26049099	1	0
1	26051304	26068436	0	1
1	26111165	26125555	1	0
1	26159079	26163962	1	0
1	26164161	26168581	0	1
1	26169516	26171831	0	1
1	26169908	26170873	1	0
1	26177484	26189884	1	0
1	26190561	26202968	1	0
1	26209741	26229840	1	0
1	26218581	26220476	0	1
1	26234200	26278808	1	0
1	26263041	26263398	0	1
1	26280086	26281522	1	0
1	26281328	26318363	0	1
1	26317958	26320523	1	0
1	26321698	26360080	0	1
1	26326688	26327033	1	0
1	26361634	26374522	0	1
1	26410817	26429728	1	0
1	26432282	26471306	1	0
1	26454653	26455187	0	1
1	26462756	26468014	0	1
1	26472440	26476642	1	0
1	26519354	26520250	0	1
1	26529761	26575030	1	0
1	26554542	26554593	1	0
1	26593243	26593546	0	1
1	26593940	26594041	0	1
1	26602369	26602432	0	1
1	26640377	26640614	0	1
1	26642286	26642389	0	1
1	26647447	26647681	1	0
1	26692132	26694131	0	1
1	26693236	26782104	1	0
1	26787054	26800659	1	0
1	26814822	26815112	1	0
1	26817300	26817476	1	0
1	26826688	26857604	1	0
1	26863149	26864456	1	0
1	26876132	26890283	0	1
1	26876133	26878245	1	0
1	26890488	26900467	0	1
1	26900238	26946871	1	0
1	26911489	26913975	0	1
1	26949562	26960468	0	1
1	26980165	26980975	1	0
1	26983628	26984024	1	0
1	26985897	26986340	0	1
1	26993692	27000886	1	0
1	27005020	27012850	0	1
1	27098809	27166981	0	1
1	27176751	27177277	1	0
1	27200834	27201473	0	1
1	27206930	27207796	1	0
1	27211265	27211484	1	0
1	27229106	27234352	0	1
1	27234632	27308636	1	0
1	27255464	27255567	0	1
1	27311240	27311838	1	0
1	27322145	27336400	1	0
1	27325219	27325325	1	0
1	27325329	27325796	1	0
1	27342020	27353932	1	0
1	27354067	27366961	0	1
1	27369112	27374824	0	1
1	27379176	27383333	0	1
1	27389468	27390145	1	0
1	27392622	27395814	1	0
1	27404230	27490167	0	1
1	27457198	27459582	1	0
1	27525805	27530561	1	0
1	27534035	27604431	0	1
1	27612064	27635185	0	1
1	27649419	27649610	1	0
1	27660328	27662722	0	1
1	27666064	27672198	0	1
1	27669468	27703063	1	0
1	27675603	27675709	0	1
1	27686810	27687471	0	1
1	27693731	27693835	1	0
1	27724822	27725756	0	1
1	27725979	27763122	1	0
1	27739091	27739439	1	0
1	27739954	27740629	1	0
1	27773219	27824443	1	0
1	27773858	27774041	1	0
1	27819983	27820341	1	0
1	27824538	27824643	1	0
1	27827812	27831209	0	1
1	27830782	27851676	1	0
1	27834401	27834566	1	0
1	27872543	27886685	1	0
1	27891524	27914746	0	1
1	27935000	27959157	1	0
1	27938875	27960193	0	1
1	27959973	27968093	1	0
1	27970344	28088637	0	1
1	27990158	27990524	0	1
1	28031884	28032180	0	1
1	28095742	28096422	0	1
1	28109739	28110298	1	0
1	28120449	28121321	0	1
1	28142737	28142841	0	1
1	28147166	28193936	0	1
1	28199456	28233029	0	1
1	28236109	28246906	1	0
1	28239509	28241453	0	1
1	28247144	28247568	1	0
1	28259518	28282491	1	0
1	28329002	28335965	1	0
1	28369582	28500364	1	0
1	28422555	28422655	0	1
1	28453541	28453934	1	0
1	28481362	28481480	1	0
1	28505943	28539300	1	0
1	28505980	28510892	1	0
1	28507366	28507571	1	0
1	28508559	28508762	1	0
1	28526318	28527227	0	1
1	28544460	28546542	1	0
1	28553085	28578545	1	0
1	28578538	28582986	0	1
1	28578749	28578822	0	1
1	28579764	28579893	0	1
1	28580381	28580512	0	1
1	28580920	28581056	0	1
1	28589323	28643085	0	1
1	28592200	28595443	1	0
1	28643228	28648581	1	0
1	28648600	28648730	1	0
1	28648600	28648733	1	0
1	28668732	28719353	1	0
1	28689665	28689794	1	0
1	28736621	28769775	1	0
1	28812142	28871267	1	0
1	28870483	28877336	0	1
1	28881726	28881835	0	1
1	28887091	29120046	1	0
1	28982278	28982608	0	1
1	28985710	28985810	1	0
1	29041199	29041480	1	0
1	29119429	29123903	0	1
1	29144494	29146994	0	1
1	29147743	29181900	0	1
1	29171285	29171453	0	1
1	29192657	29230942	0	1
1	29223933	29224816	1	0
1	29236516	29326813	1	0
1	29329620	29350114	0	1
1	29488193	29496893	0	1
1	29708851	29709547	0	1
1	29755175	29790597	1	0
1	29904865	29905357	0	1
1	30013952	30037612	0	1
1	30140263	30141607	1	0
1	30226523	30226615	1	0
1	30409560	30411638	0	1
1	30415825	30421108	1	0
1	30711277	30723585	0	1
1	30718504	30726827	1	0
1	30731693	30733427	1	0
1	30732469	30757774	0	1
1	30739156	30739232	0	1
1	30810378	30815553	0	1
1	30824217	30834864	1	0
